Date,Time,Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-03-24,09:27:36.360,-0.02,0.00,-0.03,16.6,0.6,38,96,"ANGL",-35.523657 149.068749,0.0,254.50,0,15,37,37,100,90,1,25,24,100,103,0.0,3,1,-1024,-4,-50,-1024,-15,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:36.840,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068749,0.1,254.50,0,15,37,37,100,90,1,25,25,100,102,0.0,3,1,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:37.340,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068748,0.1,254.50,0,15,39,39,100,88,1,25,28,100,99,0.0,4,3,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1502,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:37.840,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068748,0.1,254.50,0,15,38,38,100,89,1,25,27,100,100,0.0,3,1,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:38.340,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068749,0.1,254.50,0,15,39,39,100,88,1,25,27,100,100,0.0,4,1,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1502,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:38.840,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068749,0.2,254.50,0,15,38,38,100,89,1,25,26,100,101,0.0,3,3,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1501,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:39.340,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068749,0.1,254.50,0,15,39,39,100,88,1,25,27,100,99,0.0,3,3,-1024,-6,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1497,1501,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:39.840,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068749,0.1,254.50,0,15,44,44,100,83,1,25,30,100,96,0.0,3,3,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1501,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:40.340,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068749,0.1,254.50,0,15,39,39,100,88,1,25,27,100,99,0.0,3,1,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:40.840,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068750,0.3,254.50,0,15,38,38,100,89,1,25,24,100,103,0.0,3,3,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1501,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:41.340,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068750,0.1,254.50,0,15,34,34,100,93,1,25,23,100,104,0.0,3,1,-1024,-4,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1498,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:41.840,-0.02,0.00,-0.03,16.6,0.6,39,96,"ANGL",-35.523657 149.068750,0.1,254.50,0,15,38,38,100,89,1,25,27,100,100,0.0,3,1,-1024,-6,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1497,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
2024-03-24,09:27:42.340,-0.02,0.00,-0.03,16.6,0.6,40,96,"ANGL",-35.523657 149.068750,0.1,254.50,0,15,39,39,100,88,1,25,26,100,100,0.0,3,1,-1024,-6,-50,-1024,-14,0,0,0,0,1024,1024,0,-1,1,-1,-1,-1,-1,-1,0x0000000000000000,1497,1500,988,1501,2012,988,999,988,1500,1475,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.6
