Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-22,09:07:11.260,-47,0,100,13,0,4,10,-38,100,14,8.4,66.7,3922,100,-35.523449 149.068760,0.1,0.10,596,7,1,-12,-624,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,1188,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:11.600,-47,0,100,13,0,4,10,-29,100,15,8.4,66.7,3922,100,-35.523449 149.068758,0.1,0.10,596,7,1,-12,-624,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,1188,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:12.100,-34,0,100,14,0,4,10,-29,100,14,8.3,66.6,3951,99,-35.523449 149.068758,0.1,0.10,596,7,0,-13,666,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,1833,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:12.600,-33,0,100,14,0,4,10,-31,100,13,8.3,66.6,3951,99,-35.523449 149.068758,0.1,0.10,596,7,1,-13,1024,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:13.100,-35,0,100,13,0,4,10,-36,100,13,8.3,66.6,3951,99,-35.523447 149.068757,0.7,62.00,596,7,1,-13,1024,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:13.600,-35,0,100,13,0,4,10,-41,100,14,8.0,66.3,3981,91,-35.523447 149.068757,0.7,62.00,596,7,1,-12,1024,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:14.100,-42,0,100,13,0,4,10,-37,100,14,8.0,66.3,3981,91,-35.523447 149.068757,0.7,62.00,596,7,0,-12,1024,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:14.600,-40,0,100,13,0,4,10,-45,100,14,8.0,66.3,3981,91,-35.523450 149.068765,2.5,112.90,596,7,1,-11,1024,-9,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:15.100,-47,0,100,13,0,4,10,-41,100,14,7.9,66.2,4010,90,-35.523450 149.068765,2.5,112.90,596,7,1,-11,1024,-8,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,09:07:15.600,-44,0,100,13,0,4,10,-39,100,14,7.9,66.2,4010,90,-35.523450 149.068765,2.5,112.90,596,7,1,-12,1024,-10,-1024,-1024,-1,-1,-1,-1,1,-1,0x0000000000000020,1500,1500,2012,1500,2012,1500,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
