Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat(%),VSpd(m/s),Alt(m),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-22,08:43:08.610,-78,0,100,13,0,4,100,-98,60,0,7.8,2.9,1188,84,-0.3,119.5,-35.525441 149.055416,43.8,139.40,711,12,5,-12,-1024,-2,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,988,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:08.940,-78,0,100,13,0,4,100,-100,60,0,7.8,2.9,1188,84,-0.3,119.5,-35.525663 149.066804,49.4,116.70,709,12,3,-12,-1024,-2,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,988,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:09.440,-82,0,100,12,0,4,50,-104,60,-4,7.8,2.9,1193,84,-0.3,119.5,-35.525663 149.066804,49.4,116.70,709,12,-17,-12,-1024,-3,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,988,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:09.940,-82,0,100,12,0,4,100,-104,56,-4,7.8,2.9,1193,84,-0.3,119.5,-35.525663 149.066804,49.4,116.70,709,12,-4,-12,-984,-2,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,1008,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:10.440,-83,0,100,12,0,4,50,-98,56,0,7.8,2.9,1193,84,1.2,119.5,-35.525663 149.066804,49.4,116.70,709,12,2,-11,-985,-3,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,1008,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:10.940,-83,0,100,12,0,4,50,-97,60,1,7.8,2.9,1193,84,1.2,119.5,-35.525663 149.066804,49.4,116.70,709,12,2,-11,-985,-2,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,1008,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:11.440,-83,0,100,12,0,4,100,-98,56,0,7.8,2.9,1193,84,1.2,125.4,-35.525663 149.066804,49.4,116.70,709,12,-750,-12,-1024,-2,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,988,1319,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:11.940,-79,0,100,12,0,4,50,-99,56,0,7.8,2.9,1193,84,1.2,125.4,-35.525663 149.066804,49.4,116.70,709,12,2,-12,-1018,-2,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:12.440,-82,0,100,13,0,4,25,-97,56,2,7.8,2.9,1193,84,1.2,125.4,76.196729 149.067504,35.5,34.20,715,12,2,-12,-1018,-2,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:12.940,-82,0,100,13,0,4,25,-97,56,2,7.8,2.9,1196,84,1.2,125.4,76.196729 149.067504,35.5,34.20,715,12,2,-11,-1018,-2,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:13.440,-91,0,100,9,0,4,10,-96,60,2,7.8,2.9,1196,84,0.5,125.4,76.196729 149.067504,35.5,34.20,715,12,2,-12,-1018,17,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1478,1487,991,1500,2012,988,1467,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:13.940,-91,0,100,9,0,4,10,-97,64,2,7.8,2.9,1196,84,0.5,125.4,76.196729 149.067504,35.5,34.20,715,12,2,-25,-1018,755,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1377,1486,991,1500,2012,988,1369,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:14.440,-89,0,99,10,0,4,10,-96,72,2,7.8,2.9,1196,84,0.5,126.1,76.196729 149.067504,35.5,34.20,715,12,2,-14,-1018,137,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1471,1486,991,1500,2012,988,1461,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:14.940,-87,0,99,12,0,4,10,-97,76,2,7.8,2.9,1196,84,0.5,126.1,76.196729 149.067504,35.5,34.20,715,12,2,-14,-1018,1,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1478,1486,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:15.440,-85,0,99,12,0,4,10,-89,84,9,7.8,2.9,1196,84,0.5,126.1,-35.525225 149.067594,30.5,-301.16,716,12,2,-14,-1018,735,-892,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1383,1486,991,1500,2012,988,1375,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:15.940,-85,0,99,12,0,4,10,-92,88,3,7.8,2.9,1198,84,0.5,126.1,-35.525225 149.067594,30.5,-301.16,716,12,2,-12,-1018,-3,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:16.440,-85,0,100,12,0,4,10,-89,92,-4,7.8,2.9,1198,84,0.5,126.1,-35.525225 149.067594,30.5,-301.16,716,12,1,-12,-1018,-3,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-22,08:43:16.940,-84,0,100,12,0,4,10,-94,92,5,7.8,2.9,1198,84,0.5,128.1,-35.525225 149.067594,30.5,-301.16,716,12,39,-12,-1018,-3,-893,-1024,-1,-1,-1,-1,0,0,0x0000000000000020,1479,1487,991,1500,2012,988,1468,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
