Date,Time,Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-02-11,10:07:52.770,0.00,-0.15,1.84,11.7,1.0,85,60,"ANGL",-35.523614 149.068733,0.0,24.90,0,28,47,47,100,80,1,25,33,100,93,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:53.750,0.00,-0.15,1.84,11.7,1.0,85,60,"ANGL",-35.523614 149.068733,0.0,24.90,0,28,45,45,100,82,1,25,33,100,94,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:54.750,0.00,-0.15,1.84,11.7,1.0,85,59,"ANGL",-35.523614 149.068733,0.0,24.90,0,27,47,47,100,80,1,25,34,100,93,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:55.750,0.00,-0.15,1.84,11.7,1.0,85,60,"ANGL",-35.523614 149.068733,0.1,24.90,0,27,48,48,100,79,1,25,34,100,92,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:56.750,0.00,-0.15,1.84,11.7,1.0,86,59,"ANGL",-35.523614 149.068732,0.1,24.90,0,27,48,48,100,79,1,25,35,100,92,0.0,-2,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1499,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:57.750,0.00,-0.15,1.84,11.7,1.0,86,59,"ANGL",-35.523614 149.068732,0.1,24.90,0,27,48,48,100,79,1,25,34,100,93,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:58.750,0.00,-0.15,1.84,11.7,1.0,86,59,"ANGL",-35.523613 149.068732,0.2,24.90,0,28,56,56,100,71,1,25,36,100,90,0.0,-2,-3,-1024,2,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1501,1499,988,1499,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:07:59.750,0.00,-0.15,1.84,11.7,1.0,87,60,"ANGL",-35.523613 149.068732,0.1,24.90,0,28,47,47,100,80,1,25,31,100,95,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,2012,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:08:00.750,0.00,-0.15,1.84,11.7,1.0,87,60,"ANGL",-35.523614 149.068732,0.0,24.90,0,28,44,44,100,83,1,25,34,100,91,0.0,-2,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,600,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1499,2012,2012,999,988,1500,1800,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2024-02-11,10:08:01.750,0.00,-0.16,1.84,11.7,1.0,87,60,"ANGL",-35.523614 149.068732,0.0,24.90,0,28,50,50,100,77,1,25,35,100,92,0.0,-1,-3,-1024,1,-60,-1024,-6,0,0,0,0,1024,43,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,1500,1499,988,1500,2012,2012,999,988,1500,1521,1582,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
